Id	Name	Description	WorldDesc	BigIcon	Icon	ItemType	Quality	Priority	MaxCount	GridCount	TimelinessType	StartTime	Duration	RecycleRewardId	RecycleByMail	SellForId	SellForCount	RecType	RecTime	RecCount	SuitId	SkipIdParams[0]	SkipIdParams[1]	SkipIdParams[2]	SkipIdParams[3]	SkipIdParams[4]	SkipIdParams[5]	SubTypeParams[0]	SubTypeParams[1]	SubTypeParams[2]	SubTypeParams[3]	SubTypeParams[4]	SubTypeParams[5]	SubTypeParams[6]	SubTypeParams[7]
10041	Voltaire Set Drop	Any Voltaire Memory.	Memory Chip of a human being known to have achieved great deeds - for good or evil. Equip to reduce the enemy's DEF when attacking.	Assets/Product/Texture/Image/IconTools/EFuertaiI01001.png	Assets/Product/Texture/Image/IconToolsSp/EFuertaiI01001Sp.png	4	5	50	999	999						1	10																		
10042	Gloria Set Drop	Any Gloria Memory.	Memory Chip of a human being known to have achieved great deeds - for good or evil. Equip to inflict elemental debuffs when attacking.	Assets/Product/Texture/Image/IconTools/EGeluodaI01001.png	Assets/Product/Texture/Image/IconToolsSp/EGeluodaI01001Sp.png	4	5	50	999	999						1	10																		
10043	Richelieu Set Drop	Any Richelieu Memory.	Memory Chip of a human being known to have achieved great deeds - for good or evil. Equip for healing effects to also increase the target's Physical ATK.	Assets/Product/Texture/Image/IconTools/ELisailiuI01001.png	Assets/Product/Texture/Image/IconToolsSp/ELisailiuI01001Sp.png	4	5	50	999	999						1	10																		
10044	Samantha Set Drop	Any Samantha Memory.	Memory Chip of a human being known to have achieved great deeds - for good or evil. Equip to allow the Construct's elemental attacks to disrupt the battlefield.	Assets/Product/Texture/Image/IconTools/ESamandaI01001.png	Assets/Product/Texture/Image/IconToolsSp/ESamandaI01001Sp.png	4	5	50	999	999						1	10																		
10045	Ike Set Drop	Any Ike Memory.	Memory Chip of a human being known to have achieved great deeds - for good or evil. Equip to increase a Construct's Elemental ATK.	Assets/Product/Texture/Image/IconTools/EAikeI01001.png	Assets/Product/Texture/Image/IconToolsSp/EAikeI01001Sp.png	4	5	50	999	999						1	10																		
10046	Mozart Set Drop	Any Mozart Memory.	Memory Chip of a human being known to have achieved great deeds - for good or evil. Equip to allow Construct to use Matrix more freely.	Assets/Product/Texture/Image/IconTools/EMozateI01001.png	Assets/Product/Texture/Image/IconToolsSp/EMozateI01001Sp.png	4	5	50	999	999						1	10																		
10047	Erwin Set Drop	Any Erwin Memory.	Memory Chip of a human being known to have achieved great deeds - for good or evil. Equip to increase a Construct's Physical ATK.	Assets/Product/Texture/Image/IconTools/ELongmeierI01001.png	Assets/Product/Texture/Image/IconToolsSp/ELongmeierI01001Sp.png	4	5	50	999	999						1	10																		
10048	Aife Set Drop	Any Aife Memory.	Memory Chip of a human being known to have achieved great deeds - for good or evil. Equip to gain a bonus when using skills.	Assets/Product/Texture/Image/IconTools/EAifuI01001.png	Assets/Product/Texture/Image/IconToolsSp/EAifuI01001Sp.png	4	5	50	999	999						1	10																		
10049	6★ Equipment Drop	May drop a 6★ equipment.		Assets/Product/Texture/Image/IconTools/ItEquipPreview06.png	Assets/Product/Texture/Image/IconToolsSp/ItEquipPreview06Sp.png	4	6	50	999	999						1	10																		
10050	6★ Weapon Drop	May drop a 6★ weapon.		Assets/Product/Texture/Image/IconTools/ItWeaponPreview06.png	Assets/Product/Texture/Image/IconToolsSp/ItWeaponPreview06Sp.png	4	6	50	999	999						1	10																		
10051	6★ Memory Drop	May drop a 6★ Memory.		Assets/Product/Texture/Image/IconTools/ItWaferPreview06.png	Assets/Product/Texture/Image/IconToolsSp/ItWaferPreview06Sp.png	4	6	50	999	999						1	10																		
10052	Memory Enhancer	Enhance module for Memory Chips. Provides different benefits based on size.	The Science Council preserves Memory Chip enhance data to increase the strength of other Memory Chips.	Assets/Product/Texture/Image/IconTools/EGouliangI01001.png	Assets/Product/Texture/Image/IconToolsSp/EGouliangI01001Sp.png	4	1	50	999	999						1	10																		
10053	Memory Enhancer	Enhance module for Memory Chips. Provides different benefits based on size.	The Science Council preserves Memory Chip enhance data to increase the strength of other Memory Chips.	Assets/Product/Texture/Image/IconTools/EGouliangI01001.png	Assets/Product/Texture/Image/IconToolsSp/EGouliangI01001Sp.png	4	2	50	999	999						1	10																		
10054	Memory Enhancer	Enhance module for Memory Chips. Provides different benefits based on size.	The Science Council preserves Memory Chip enhance data to increase the strength of other Memory Chips.	Assets/Product/Texture/Image/IconTools/EGouliangI01001.png	Assets/Product/Texture/Image/IconToolsSp/EGouliangI01001Sp.png	4	3	50	999	999						1	10																		
10055	Memory Enhancer	Enhance module for Memory Chips. Provides different benefits based on size.	The Science Council preserves Memory Chip enhance data to increase the strength of other Memory Chips.	Assets/Product/Texture/Image/IconTools/EGouliangI01001.png	Assets/Product/Texture/Image/IconToolsSp/EGouliangI01001Sp.png	4	4	50	999	999						1	10																		
10056	Memory Enhancer	Enhance module for Memory Chips. Provides different benefits based on size.	The Science Council preserves Memory Chip enhance data to increase the strength of other Memory Chips.	Assets/Product/Texture/Image/IconTools/EGouliangI01001.png	Assets/Product/Texture/Image/IconToolsSp/EGouliangI01001Sp.png	4	5	50	999	999						1	10																		
11001	Cafe Decor	Decor in cafe style.		Assets/Product/Texture/Image/IconTools/IconDormCoffeecounter001.png	Assets/Product/Texture/Image/IconToolsSp/IconDormCoffeecounter001Sp.png	4	4	50	999	999						1	10																		
11002	Japanese Decor	Decor in Japaneses style.		Assets/Product/Texture/Image/IconTools/IconDormCherryfurnace001.png	Assets/Product/Texture/Image/IconToolsSp/IconDormCherryfurnace001Sp.png	4	4	50	999	999						1	10																		
11003	Cyber Decor	Decor in cyberpunk style.		Assets/Product/Texture/Image/IconTools/IconDormPunkmachines001.png	Assets/Product/Texture/Image/IconToolsSp/IconDormPunkmachines001Sp.png	4	4	50	999	999						1	10																		
11004	Cafe Blueprint	Blueprints for a cafe style.		Assets/Product/Texture/Image/IconTools/IconBlueCoffeecounter001.png	Assets/Product/Texture/Image/IconToolsSp/IconBlueCoffeecounter001Sp.png	4	4	50	999	999						1	10																		
11005	Japanese Blueprint	Blueprints for a Japanese style.		Assets/Product/Texture/Image/IconTools/IconBlueCherryscreen001.png	Assets/Product/Texture/Image/IconToolsSp/IconBlueCherryscreen001Sp.png	4	4	50	999	999						1	10																		
11006	Cyber Blueprint	Blueprints for a cyberpunk style.		Assets/Product/Texture/Image/IconTools/IconBluePunklocker001.png	Assets/Product/Texture/Image/IconToolsSp/IconBluePunklocker001Sp.png	4	4	50	999	999						1	10																		
30011	EXP Pod (S)	Contains a small amount of EXP points for leveling up members.	Construct combat data is preserved for training other members.	Assets/Product/Texture/Image/IconTools/ItExpI010010.png	Assets/Product/Texture/Image/IconToolsSp/ItExpI010010Sp.png	2052	2	1000	9999	999						1	10											3	100	10000					
30012	EXP Pod (M)	Contains a certain amount of EXP points for leveling up members.	Construct combat data is preserved for training other members.	Assets/Product/Texture/Image/IconTools/ItExpI010020.png	Assets/Product/Texture/Image/IconToolsSp/ItExpI010020Sp.png	2052	3	1010	9999	999						1	20					10013						3	1000	10000					
30013	EXP Pod (L)	Contains a large amount of EXP points for leveling up members.	Construct combat data is preserved for training other members.	Assets/Product/Texture/Image/IconTools/ItExpI010030.png	Assets/Product/Texture/Image/IconToolsSp/ItExpI010030Sp.png	2052	4	1020	9999	999						1	40					10013						3	3000	10000					
30014	EXP Pod (XL)	Contains a huge amount of EXP points for leveling up members.	Construct combat data is preserved for training other members.	Assets/Product/Texture/Image/IconTools/ItExpI010031.png	Assets/Product/Texture/Image/IconToolsSp/ItExpI010031Sp.png	2052	4	1030	9999	999						1	100											3	20000	10000					
40100	Minor Overclock Alloy	Used to exceed equipment level limit for low-rank equipment.	Parts containing a small amount of high-entropy alloy. Used to enhance equipment of Constructs.	Assets/Product/Texture/Image/IconTools/ItExpI180010.png	Assets/Product/Texture/Image/IconToolsSp/ItExpI180010Sp.png	4	3	2100	99999	999						1	10					10022													
40103	Weapon Overclock Core I	Key material used to increase weapon level limit. Useful for low-rank equipment.	Basic computing core that increases weapon strength.	Assets/Product/Texture/Image/IconTools/ItExpI190010.png	Assets/Product/Texture/Image/IconToolsSp/ItExpI190010Sp.png	4	3	2103	99999	999						1	10					10021													
40104	Memory Overclock Circuit I	Key material used to increase Memory level limit. Useful for low-rank equipment.	Basic parts used to expand Memory Chip computing pathways and increase Memory strength.	Assets/Product/Texture/Image/IconTools/ItFinalI010020.png	Assets/Product/Texture/Image/IconToolsSp/ItFinalI010020Sp.png	4	3	2104	99999	999						1	10					10021													
40110	Major Overclock Alloy	Used to exceed equipment level limit for high-rank equipment.	Parts containing a large amount of high-entropy alloy. Used to increase the strength of Construct equipment.	Assets/Product/Texture/Image/IconTools/ItExpI180020.png	Assets/Product/Texture/Image/IconToolsSp/ItExpI180020Sp.png	4	4	2105	99999	999						1	10					10023													
40113	Weapon Overclock Core II	Key material used to increase weapon level limit. Useful for high-rank equipment.	Advanced computing core that increases weapon strength.	Assets/Product/Texture/Image/IconTools/ItExpI190020.png	Assets/Product/Texture/Image/IconToolsSp/ItExpI190020Sp.png	4	4	2108	99999	999						1	10					10023													
40114	Memory Overclock Circuit II	Key material used to increase weapon level limit. Useful for high-rank Memory.	Advanced parts used to expand Memory Chip computing pathways and increase Memory strength.	Assets/Product/Texture/Image/IconTools/ItFinalI020030.png	Assets/Product/Texture/Image/IconToolsSp/ItFinalI020030Sp.png	4	4	2109	99999	999						1	10					10023													
40601	Frog Accessory	Increases Construct Affection. Lucia's favorite gift.	A series of plushies produced by a famous toy-maker brand. Poor sales meant that there are very few of them left.	Assets/Product/Texture/Image/IconTools/ItGift0302.png	Assets/Product/Texture/Image/IconToolsSp/ItGift0302Sp.png	4	5	4601	99999	999						1	10					10007													
40602	Biosphere	Increases Construct Affection. Liv's favorite gift.	Highly advanced device that holds a self-contained ecosystem, a popular science teaching tool in Babylonia.	Assets/Product/Texture/Image/IconTools/ItGift0303.png	Assets/Product/Texture/Image/IconToolsSp/ItGift0303Sp.png	4	5	4602	99999	999						1	20					10007													
40603	Precision Toolkit	Increases Construct Affection. Lee's favorite gift.	Toolkit used for the maintenance of electronics.	Assets/Product/Texture/Image/IconTools/ItGift0301.png	Assets/Product/Texture/Image/IconToolsSp/ItGift0301Sp.png	4	5	4603	99999	999						1	40					10007													
40604	Jack-in-the-box	Increases Construct Affection. Nanami's favorite gift.	Trick box that surprises those who touch it.	Assets/Product/Texture/Image/IconTools/ItGift0305.png	Assets/Product/Texture/Image/IconToolsSp/ItGift0305Sp.png	4	5	4604	99999	999						1	10					10007													
40605	Prototype Engine	Increases Construct Affection. Karenina's favorite gift.	Simple and powerful, but with a tendency to explode when overloaded - which some people do not see as a flaw.	Assets/Product/Texture/Image/IconTools/ItGift0307.png	Assets/Product/Texture/Image/IconToolsSp/ItGift0307Sp.png	4	5	4605	99999	999						1	20					10007													
40606	Portable Game Console	Increases Construct Affection. Kamui's favorite gift.	The newest portable game console, perfect for passing the time between missions. Who is behind the anonymous account at the top of the rankings?	Assets/Product/Texture/Image/IconTools/ItGift0306.png	Assets/Product/Texture/Image/IconToolsSp/ItGift0306Sp.png	4	5	4606	99999	999						1	40					10007													
40607	MRE Rations	Increases Construct Affection. Watanabe's favorite gift.	Popular ration set that contains a main dish, a side course, and coffee. You may even get rare seasoning such as miso if you are lucky.	Assets/Product/Texture/Image/IconTools/ItGift0308.png	Assets/Product/Texture/Image/IconToolsSp/ItGift0308Sp.png	4	5	4607	99999	999						1	10					10007													
40608	Liliy Brooch	Increases Construct Affection. Bianca's favorite gift.	The lily represents selflessness and dignity.	Assets/Product/Texture/Image/IconTools/ItGift0304.png	Assets/Product/Texture/Image/IconToolsSp/ItGift0304Sp.png	4	5	4608	99999	999						1	20					10007													
40609	Painting Kit	Increases Construct Affection. Ayla's favorite gift.	A painting kit released by the most popular art supply brand "Montpellier", which is dedicated to sharing the happiness of artistic creation to everyone. Montpellier is always an artist's choice.	Assets/Product/Texture/Image/IconTools/ItGift0309.png	Assets/Product/Texture/Image/IconToolsSp/ItGift0309Sp.png	4	5	4609	99999	999						1	20					10007													
40610	High-Power Batteries	Increases Construct Affection. Sophia's favorite gift.	Batteries for power tools. No mechanics want to find themselves out of batteries during work, right?	Assets/Product/Texture/Image/IconTools/ItGift0310.png	Assets/Product/Texture/Image/IconToolsSp/ItGift0310Sp.png	4	5	4610	99999	999						1	20					10007													
40611	R3 Cleaning Robot	Increases Construct Affection. Chrome's favorite gift.	Developed by Cosmos Industries for Babylonia's domestic market, this cleaning robot is the best solution to a nice and clean environment.	Assets/Product/Texture/Image/IconTools/ItGift0311.png	Assets/Product/Texture/Image/IconToolsSp/ItGift0311Sp.png	4	5	4611	99999	999						1	20					10007													
40612	Military-Grade Bionic Dog	Increases Construct Affection. Vera's favorite gift.	A small military-grade bionic dog that performs various functions from item storage to radar detection, with its absolute loyalty to its master being its biggest selling point. It's been widely acclaimed ever since it was released by General Toys.	Assets/Product/Texture/Image/IconTools/ItGift0312.png	Assets/Product/Texture/Image/IconToolsSp/ItGift0312Sp.png	4	5	4612	99999	999						1	20					10007													
40613	Media Player	Increases Transcendant Affection. Camu's favorite gift.	A peripheral media player device attached to a Construct. Can receive messages and signals from Babylonia.	Assets/Product/Texture/Image/IconTools/ItGift0313.png	Assets/Product/Texture/Image/IconToolsSp/ItGift0313Sp.png	4	5	4613	99999	999						1	20					10007													
40681	Best-Seller	Increases Construct Affection. Common gift that everybody likes.	Serialized manga that has been a best-seller both on a ground and in Babylonia since the last century, depicting the human struggle against the Punishing Virus.	Assets/Product/Texture/Image/IconTools/ItGift0201.png	Assets/Product/Texture/Image/IconToolsSp/ItGift0201Sp.png	4	3	2500	99999	999						1	20																		
40682	Vinyl Record	Increases members' Affection. A common gift everybody likes.	Specialized teams have been sent to earth to retrieve the sounds, sights and culture that could not be artificially recreated, resulting in this record of a golden era long gone.	Assets/Product/Texture/Image/IconTools/ItGift0202.png	Assets/Product/Texture/Image/IconToolsSp/ItGift0202Sp.png	4	3	2500	99999	999						1	10																		
40683	Ration Chocolate	Increases members' Affection. An exquisite gift everybody likes.	Chocolate bar used as rations by the United Earth military. Has a very long shelf life with a wide variety of flavors. A delicious gift.	Assets/Product/Texture/Image/IconTools/ItGift0203.png	Assets/Product/Texture/Image/IconToolsSp/ItGift0203Sp.png	4	4	2500	99999	999						1	20																		
40684	1 Day Tour Tickets x2	Increases Construct Affection. Fine gift that everybody likes.	A pair of bracelet tickets for 2 people to enjoy a day tour of Babylonia, including transport, space observation deck tickets, VIP hologram theater seats, as well as bar and outdoor pool party access.	Assets/Product/Texture/Image/IconTools/ItGift0204.png	Assets/Product/Texture/Image/IconToolsSp/ItGift0204Sp.png	4	4	2500	99999	999						1	40																		
40691	Normal Gift Box	Gives a random normal gift.	A wrapped gift box. No way to know what is inside without opening it.	Assets/Product/Texture/Image/IconTools/ItCaseGift01.png	Assets/Product/Texture/Image/IconToolsSp/ItCaseGift01Sp.png	16	3	2500	99999	999						1	10											2	1003						
40692	Fine Gift Box	Gives a random fine gift.	A wrapped gift box. No way to know what is inside without opening it.	Assets/Product/Texture/Image/IconTools/ItCaseGift02.png	Assets/Product/Texture/Image/IconToolsSp/ItCaseGift02Sp.png	16	4	2500	99999	999						1	20											2	1004						
40693	Precious Gift Box	Gives a random precious gift.	A wrapped gift box. No way to know what is inside without opening it.	Assets/Product/Texture/Image/IconTools/ItCaseGift03.png	Assets/Product/Texture/Image/IconToolsSp/ItCaseGift03Sp.png	16	5	2500	99999	999						1	40											2	1005						
40694	Sweet Gift Box	Choose 1 from 3 gifts: Precision Toolkit, Portable Game Console, MRE Rations.	A gift box wrapped with a ribbon. It contains male Construct's favorite gifts.	Assets/Product/Texture/Image/IconTools/IconActivityCase2003006.png	Assets/Product/Texture/Image/IconToolsSp/IconActivityCase2003006Sp.png	16	5	10006	999	999						1	100											3	1151	1					
40695	Beating Heart Gift	Choose 1 from 6 gifts: Frog Accessory, Biosphere, Jack-in-the-box, Prototype Engine, Liliy Brooch, Painting Kit.	An exquisite gift box that contains female Construct's favorite gifts.	Assets/Product/Texture/Image/IconTools/IconActivityCase2003005.png	Assets/Product/Texture/Image/IconToolsSp/IconActivityCase2003005Sp.png	16	5	10006	999	999						1	100											3	1152	1					
40800	Crimson Love	Constructs give this rare collectible to their Commandant on May 20th. It carries special meanings.	Constructs have prepared this rose for a special day. It's been carefully sealed within a box so it can be preserved permanently.	Assets/Product/Texture/Image/IconTools/IconActivityGift2005002.png	Assets/Product/Texture/Image/IconToolsSp/IconActivityGift2005002Sp.png	4	6	4600	99999	999																									
40801	White Affection	All Constructs love this rare gift. Give it to them on a special day to create some great memories.	A customized rose for your important ones. Costs a lot to make, and contains a lot of emotions.	Assets/Product/Texture/Image/IconTools/IconActivityGift2005001.png	Assets/Product/Texture/Image/IconToolsSp/IconActivityGift2005001Sp.png	4	6	4600	99999	999	1	2020/5/20 10:00	1296000	2200000	1																				
50000	Basic Construct R&D Ticket	Used to research Constructs.	Tickets issued to Executor Squads. Accumulate them to access Construct research facilities.	Assets/Product/Texture/Image/IconTools/IconConsumeTicC3.png	Assets/Product/Texture/Image/IconToolsSp/IconConsumeTicC3Sp.png	32772	5	800	99999	9999						1	10																		
50001	Basic Weapon R&D Ticket	Used to research weapons.	Tickets issued to Executor Squads. Accumulate them to access equipment research facilities.	Assets/Product/Texture/Image/IconTools/IconConsumeTicC2.png	Assets/Product/Texture/Image/IconToolsSp/IconConsumeTicC2Sp.png	32772	5	800	99999	9999						1	10																		
50002	Basic Memory R&D Ticket	Used to research Memory.	Tickets issued to Executor Squads. Accumulate them to access equipment research facilities.	Assets/Product/Texture/Image/IconTools/IconConsumeTicC1.png	Assets/Product/Texture/Image/IconToolsSp/IconConsumeTicC1Sp.png	32772	5	800	99999	9999						1	10																		
50003	Target Weapon R&D Ticket	Used to research specific weapons.	Tickets issued to Executor Squads. Accumulate them to access special equipment research facilities.	Assets/Product/Texture/Image/IconTools/IconConsumeTicD2.png	Assets/Product/Texture/Image/IconToolsSp/IconConsumeTicD2Sp.png	32772	5	800	99999	9999						1	10																		
50004	Target Memory R&D Ticket	Used to research specific Memory.	Tickets issued to Executor Squads. Accumulate them to access special equipment research facilities.	Assets/Product/Texture/Image/IconTools/IconConsumeTicD1.png	Assets/Product/Texture/Image/IconToolsSp/IconConsumeTicD1Sp.png	32772	5	800	99999	9999						1	10																		
50005	Event Construct R&D Ticket	Used to research event items.	Tickets issued to Executor Squads. Accumulate them to access special equipment research facilities.	Assets/Product/Texture/Image/IconTools/IconConsumeTicF3.png	Assets/Product/Texture/Image/IconToolsSp/IconConsumeTicF3Sp.png	32772	5	800	99999	9999						1	10																		
50006	Event Weapon R&D Ticket	Used to research event items.	Tickets issued to Executor Squads. Accumulate them to access special equipment research facilities.	Assets/Product/Texture/Image/IconTools/IconConsumeTicE3.png	Assets/Product/Texture/Image/IconToolsSp/IconConsumeTicE3Sp.png	32772	5	800	99999	9999						1	10																		
90001	Serum Bundle (S)	Gives 30ml of Serum.	Small Serum bundle for the Commandant's use. Holds a small amount of Serum.	Assets/Product/Texture/Image/IconTools/ItBatI010010.png	Assets/Product/Texture/Image/IconToolsSp/ItBatI010010Sp.png	16	3	4000	999	999						1	10											1	1106	90000					
90002	Serum Bundle (M)	Gives 60ml of Serum.	Medium Serum bundle for the Commandant's use. Holds a moderate amount of Serum.	Assets/Product/Texture/Image/IconTools/ItBatI010020.png	Assets/Product/Texture/Image/IconToolsSp/ItBatI010020Sp.png	16	4	4010	999	999						1	20											1	1107	90000					
90003	Serum Bundle (L)	Gives 120ml of Serum.	Large Serum bundle for the Commandant's use. Holds a large amount of Serum.	Assets/Product/Texture/Image/IconTools/ItBatI010030.png	Assets/Product/Texture/Image/IconToolsSp/ItBatI010030Sp.png	16	4	4020	999	999						1	40											1	1108	90000					
90011	Cog Pack (S)	Gives 10000 Cogs.	A box of Cogs that has become far more valuable than could ever be imagined, now that it is known that they contain a compound crucial for Construct creation.	Assets/Product/Texture/Image/IconTools/ItCaseNut001.png	Assets/Product/Texture/Image/IconToolsSp/ItCaseNut001Sp.png	16	2	4001	999	999						1	10000											1	1101	90001					
90012	Cog Pack (M)	Gives 20000 Cogs.	A box of Cogs that has become far more valuable than could ever be imagined, now that it is known that they contain a compound crucial for Construct creation.	Assets/Product/Texture/Image/IconTools/ItCaseNut002.png	Assets/Product/Texture/Image/IconToolsSp/ItCaseNut002Sp.png	16	3	4011	999	999						1	20000											1	1102	90001					
90013	Cog Pack (L)	Gives 50000 Cogs.	A box of Cogs that has become far more valuable than could ever be imagined, now that it is known that they contain a compound crucial for Construct creation.	Assets/Product/Texture/Image/IconTools/ItCaseNut003.png	Assets/Product/Texture/Image/IconToolsSp/ItCaseNut003Sp.png	16	3	4021	999	999						1	50000											1	1103	90001					
90014	Cog Pack (XL)	Gives 100000 Cogs.	A box of Cogs that has become far more valuable than could ever be imagined, now that it is known that they contain a compound crucial for Construct creation.	Assets/Product/Texture/Image/IconTools/ItCaseNut004.png	Assets/Product/Texture/Image/IconToolsSp/ItCaseNut004Sp.png	16	4	4031	999	999						1	100000											1	1104	90001					
90015	Cog Pack (XXL)	Gives 200000 Cogs.	A box of Cogs that has become far more valuable than could ever be imagined, now that it is known that they contain a compound crucial for Construct creation.	Assets/Product/Texture/Image/IconTools/ItCaseNut005.png	Assets/Product/Texture/Image/IconToolsSp/ItCaseNut005Sp.png	16	4	4041	999	999						1	200000											1	1105	90001					
90016	Serum Bundle (M)	Gives 60ml of Serum.	Medium Serum bundle for the Commandant's use. Holds a moderate amount of Serum.	Assets/Product/Texture/Image/IconTools/ItBatI010020.png	Assets/Product/Texture/Image/IconToolsSp/ItBatI010020Sp.png	16	4	4010	999	999	2		1728000	810	1	1	1000											1	1107	90000					
90020	Serum Bundle (M)	Gives 60ml of Serum.	Medium Serum bundle for the Commandant's use. Holds a moderate amount of Serum.	Assets/Product/Texture/Image/IconTools/ItBatI010020.png	Assets/Product/Texture/Image/IconToolsSp/ItBatI010020Sp.png	16	4	4010	999	999	2		1728000	810	1	1	1000											1	1107	90000					
90021	Serum Bundle (M)	Gives 60ml of Serum.	Medium Serum bundle for the Commandant's use. Holds a moderate amount of Serum.	Assets/Product/Texture/Image/IconTools/ItBatI010020.png	Assets/Product/Texture/Image/IconToolsSp/ItBatI010020Sp.png	16	4	4010	999	999	2		1728000	810	1	1	1000											1	1107	90000					
90022	Serum Bundle (M)	Gives 60ml of Serum.	Medium Serum bundle for the Commandant's use. Holds a moderate amount of Serum.	Assets/Product/Texture/Image/IconTools/ItBatI010020.png	Assets/Product/Texture/Image/IconToolsSp/ItBatI010020Sp.png	16	4	4010	999	999	2		1728000	810	1	1	1000											1	1107	90000					
90023	Serum Bundle (M)	Gives 60ml of Serum.	Medium Serum bundle for the Commandant's use. Holds a moderate amount of Serum.	Assets/Product/Texture/Image/IconTools/ItBatI010020.png	Assets/Product/Texture/Image/IconToolsSp/ItBatI010020Sp.png	16	4	4010	999	999	2		1728000	810	1	1	1000											1	1107	90000					
90024	Serum Bundle (M)	Gives 60ml of Serum.	Medium Serum bundle for the Commandant's use. Holds a moderate amount of Serum.	Assets/Product/Texture/Image/IconTools/ItBatI010020.png	Assets/Product/Texture/Image/IconToolsSp/ItBatI010020Sp.png	16	4	4010	999	999	2		1728000	810	1	1	1000											1	1107	90000					
90025	Serum Bundle (M)	Gives 60ml of Serum.	Medium Serum bundle for the Commandant's use. Holds a moderate amount of Serum.	Assets/Product/Texture/Image/IconTools/ItBatI010020.png	Assets/Product/Texture/Image/IconToolsSp/ItBatI010020Sp.png	16	4	4010	999	999	2		1728000	810	1	1	1000											1	1107	90000					
90026	Serum Bundle (M)	Gives 60ml of Serum.	Medium Serum bundle for the Commandant's use. Holds a moderate amount of Serum.	Assets/Product/Texture/Image/IconTools/ItBatI010020.png	Assets/Product/Texture/Image/IconToolsSp/ItBatI010020Sp.png	16	4	4010	999	999	2		1728000	810	1	1	1000											1	1107	90000					
90027	Serum Bundle (M)	Gives 60ml of Serum.	Medium Serum bundle for the Commandant's use. Holds a moderate amount of Serum.	Assets/Product/Texture/Image/IconTools/ItBatI010020.png	Assets/Product/Texture/Image/IconToolsSp/ItBatI010020Sp.png	16	4	4010	999	999	2		1728000	810	1	1	1000											1	1107	90000					
90028	Serum Bundle (M)	Gives 60ml of Serum.	Medium Serum bundle for the Commandant's use. Holds a moderate amount of Serum.	Assets/Product/Texture/Image/IconTools/ItBatI010020.png	Assets/Product/Texture/Image/IconToolsSp/ItBatI010020Sp.png	16	4	4010	999	999	2		1728000	810	1	1	1000											1	1107	90000					
90029	Serum Bundle (M)	Gives 60ml of Serum.	Medium Serum bundle for the Commandant's use. Holds a moderate amount of Serum.	Assets/Product/Texture/Image/IconTools/ItBatI010020.png	Assets/Product/Texture/Image/IconToolsSp/ItBatI010020Sp.png	16	4	4010	999	999	2		1728000	810	1	1	1000											1	1107	90000					
90030	Serum Bundle β (M)	Gives 60ml of Serum.	Medium Serum bundle for the commandant's use. Holds a moderate amount of Serum. Implements advancements in Serum and storage technology.	Assets/Product/Texture/Image/IconTools/ItBatI010020.png	Assets/Product/Texture/Image/IconToolsSp/ItBatI010020Sp.png	16	4	4010	999	999	3		1728000	810	1													1	1107	90000					
90031	Serum Bundle β (M)	Gives 60ml of Serum.	Medium Serum bundle for the commandant's use. Holds a moderate amount of Serum. Implements advancements in Serum and storage technology.	Assets/Product/Texture/Image/IconTools/ItBatI010020.png	Assets/Product/Texture/Image/IconToolsSp/ItBatI010020Sp.png	16	4	4010	999	999	3		1209600	810	1													1	1107	90000					
90032	Serum Bundle β (S)	Gives 30ml of Serum.	Small Serum bundle for the Commandant's use. Holds a moderate amount of Serum. Implements advancements in Serum and storage technology.	Assets/Product/Texture/Image/IconTools/ItBatI010010.png	Assets/Product/Texture/Image/IconToolsSp/ItBatI010010Sp.png	16	4	4010	999	999	3		1209600	810	1													1	1106	90000					
90033	Serum Bundle β (L)	Gives 120ml of Serum.	Large Serum bundle for the Commandant's use. Holds a large amount of Serum.	Assets/Product/Texture/Image/IconTools/ItBatI010030.png	Assets/Product/Texture/Image/IconToolsSp/ItBatI010030Sp.png	16	4	4010	999	999	3		1209600	810	1													1	1108	90000					
90040	Serum Chocolate	Gives 30ml of Serum.	A chocolate box seems to be produced by the Babylonia market street, but the handmade Serum label on the top left corner shows that it is actually made by the giver.	Assets/Product/Texture/Image/IconTools/IconActivityBat2002001.png	Assets/Product/Texture/Image/IconToolsSp/IconActivityBat2002001Sp.png	16	4	4010	999	999																		1	1106	90000					
90101	Equipment Overclock Black Box (S)	Gives random equipment overclock materials.	Contains data of an unknown nature. Open it to decipher its secrets.	Assets/Product/Texture/Image/IconTools/ItCaseBreach001.png	Assets/Product/Texture/Image/IconToolsSp/ItCaseBreach001Sp.png	16	4	1000	999	99						1	10											2	9011						
90104	Minor HQ Black Box	Gives a random Lv.45-50 HQ Facility.	Contains data of an unknown nature. Open it to decipher its secrets.	Assets/Product/Texture/Image/IconTools/ItCaseI020010.png	Assets/Product/Texture/Image/IconToolsSp/ItCaseI020010Sp.png	16	3	997	999	99						1	10											2	9014						
90106	Equipment EXP Set (S)	Gives random energy materials for enhancing equipment.	Equipment enhance module issued by Babylonia. Requires authentication of the Commandant's identity to open.	Assets/Product/Texture/Image/IconTools/ItCaseEexp001.png	Assets/Product/Texture/Image/IconToolsSp/ItCaseEexp001Sp.png	16	3	995	999	99						1	10											1	1008						
