Id	Name	Desc	ConsumeId	ConsumeCount	RewardId	MailId	MailCount	DailyRewardId	DailyRewardCount	PrePurchaseId	ConditionId[1]	ConditionId[2]	TimeToEffectStr	TimeToInvalidStr	ShelvesType	ShelvesDays	BuyLimitTimes	BuyLimitType	BuyLimitParam	Icon	IsSellOutShow	Tag	UiType	Priority	LogType	PayKeySuffix	MutexPurchaseIdStr
90053	[Nona] Target Weapon Pack	[Nona] Target Weapon Pack	5	59	5000163								2021/11/17 2:00	2021/12/21 7:59			2	0		En_Libao18		14	5	5900	3		
90054	[Nona] Arclight Awaken Bundle	[Nona] Arclight Awaken Bundle	5	59	5000164								2021/11/17 2:00	2021/12/21 7:59			4	0		En_Libao34		14	5	5600	3		
90055	[Nona] Strike Hawk Support	[Nona] Strike Hawk Support	5	28	5000165								2021/11/17 2:00	2021/12/21 7:59			3	0		En_Libao35		14	5	5500	3		
90056	Weekly Materials Supply Bundle	Weekly Materials Supply Bundle	5	28	5000166								2021/11/17 2:00	2021/12/21 7:59			1	1	10001	En_Libao28	1	14	5	6100	3		
90057	Serum Daily Supply	Serum Daily Supply			5000167								2021/11/17 2:00				1	1	10000	UioDay	1	10	6	4500	3		
90058	[T-Day] R&D Special Offer	[T-Day] R&D Special Offer	5	59	5000168								2021/11/24 8:00	2021/12/8 7:59			2	0		En_Libao36		14	5	5100	3		
90059	[T-Day] Reso. Bundle	[T-Day] Reso. Bundle	5	299	5000169								2021/11/24 8:00	2021/12/8 7:59			1	0		En_Libao37		14	5	5200	3		
90060	[T-Day] Serum Support - 7D	1 per day for 7 days	5	34	5000170	14000006	7						2021/11/24 8:00	2021/12/6 6:59			1	1	10001	En_Libao38	1	14	5	5400	3		
90061	[T-Day] Battle Power Support - 5D	1 per day for 5 days	5	28	5000171	14000007	5						2021/11/24 8:00	2021/12/6 6:59			1	1	10001	En_Libao39	1	14	5	5300	3		
90062	[Christmas] Set Bundle	[Christmas] Set Bundle	5	68	5000174								2021/12/6 8:00	2021/12/27 7:59			1	0		Jp_Libao22		14	7	30100	3		
90063	[Christmas] Blueprint Bundle	[Christmas] Blueprint Bundle	5	20	5000175								2021/12/6 8:00	2021/12/27 7:59			1	0		En_Libao40		14	7	30200	3		
90064	Dream Eater - Arclight	Dream Eater - Arclight	5	68	5000172								2021/11/18 8:00	2021/12/21 7:59			1	0		UioPifu57		14	7	2002	3		
90065	Ink-lit Hermit Coating Bundle	Ink-lit Hermit Coating Bundle	5	168	5000173								2021/11/24 8:00	2021/12/21 7:59			1	0		En_UioPifu1		14	7	2001	3		
90070	[K.M.] Event R&D Pack	[K.M.] Event R&D Pack	5	119	5000210								2021/12/22 2:00	2022/1/25 7:59			1	0		En_Libao41		14	5	5900	3		
90071	[K.M.] Target Weapon Pack	[K.M.] Target Weapon Pack	5	59	5000211								2021/12/22 2:00	2022/1/25 7:59			2	0		En_Libao44		14	5	6100	3		
90072	[K.M.] Basic R&D Pack	[K.M.] Basic R&D Pack	5	59	5000212								2021/12/22 2:00	2022/1/25 7:59			2	0		En_Libao42		14	5	6000	3		
90073	[K.M.] Reso. Materials Bundle	[K.M.] Reso. Materials Bundle	5	199	5000213								2021/12/22 2:00	2022/1/25 7:59			1	0		En_Libao43		14	5	6200	3		
90074	[Fest.] Advanced R&D Bundle	[Fest.] Advanced R&D Bundle	5	299	5000214								2021/12/23 8:00	2022/1/7 7:59			1	0		En_Libao45		14	5	5400	3		
90075	[Fest.] Primary R&D Bundle	[Fest.] Primary R&D Bundle	5	59	5000215								2021/12/23 8:00	2022/1/7 7:59			1	0		En_Libao46		14	5	5500	3		
90076	[Fest.] Serum Weekly Pass	1 per day for 7 days	5	34		14000010	7						2021/12/23 8:00	2022/1/7 7:59			1	0		En_Libao51		14	5	5800	3		
90077	[Fest.] R&D Special Bundle	[Fest.] R&D Special Bundle	5	28	5000216								2021/12/23 8:00	2022/1/7 7:59			2	0		En_Libao47		14	5	5600	3		
90078	[Fest.] Coating Blueprint Bundle	[Fest.] Coating Blueprint Bundle	5	28	5000217								2021/12/23 8:00	2022/1/7 7:59			4	0		En_Libao48		14	5	5700	3		
90079	[Half Anniv.] Limited Bundle	[0.5 Anniv.] Limited Bundle	5	239	5000218								2022/1/14 8:00	2022/1/21 7:59			1	0		En_Libao49		14	5	5100	3		
90080	[Half Anniv.] A-rank Pix Bundle	[0.5 Anniv.] A-rank Pix Bundle	5	34	5000219								2022/1/14 8:00	2022/1/21 7:59			1	0		En_Libao50		14	5	5200	3		
90081	[Half Anniv.] Mini 5-day Pass	1 per day for 5 days	5	5	5000220	14000011	5						2022/1/14 8:00	2022/1/21 7:59			1	0		En_Libao52		14	5	5300	3		
90082	[Chess] Set Bundle	[Chess] Set Bundle	5	68	5000221								2021/12/30 8:00	2022/1/25 7:59			1	0		Jp_JiajuLibao1		14	7	30080	3		
90083	[Chess] Blueprint Bundle	[Chess] Blueprint Bundle	5	20	5000222								2021/12/30 8:00	2022/1/25 7:59			1	0		Jp_JiajuLibao2		14	7	30090	3		
90084	Eventide Glow Coating Bundle	Eventide Glow Coating Bundle	5	168	5000223								2021/12/23 8:00	2022/1/25 7:59			1	0		En_UioPifu2		14	7	2001	3		
90085	Benizakura - Plume	Benizakura - Plume	5	28	5000224								2021/12/23 8:00	2022/1/25 7:59			1	0		En_UioPifu3		14	7	2003	3		
90086	Jolly Santanami - Pulse	Jolly Santanami - Pulse	5	126	5000225								2021/12/23 8:00	2022/1/7 7:59			1	0		En_UioPifu4		14	7	2002	3		
90087	Hymn of Stars - Pulse	Hymn of Stars - Pulse	5	28	5000226								2021/12/23 8:00	2022/1/7 7:59			1	0		En_UioPifu5		14	7	2004	3		
90088	Iris - Veritas	Iris - Veritas	5	28	5000227								2021/12/23 8:00	2022/1/25 7:59			1	0		En_UioPifu6		14	7	2005	3		
90089	Danza Macabra - Tenebrion	Danza Macabra - Tenebrion	5	28	5000228								2021/12/23 8:00	2022/1/25 7:59			1	0		En_UioPifu7		14	7	2006	3		
